Date,Domain,Subsidiary,Metric_Name,Target_Value,Actual_Value
2025-01-09,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,2.0112,2.0115
2025-01-09,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1597,0.163
2025-01-09,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4306.0,4767.0
2025-01-10,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.6427,4.4772
2025-01-10,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9522,1.8154
2025-01-10,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1612,0.1636
2025-01-10,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4289.0,4601.0
2025-01-11,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.6296,4.1646
2025-01-11,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9326,1.5479
2025-01-11,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1643,0.1571
2025-01-11,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4545.0,4510.0
2025-01-12,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9463,4.5902
2025-01-12,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9873,1.9869
2025-01-12,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1627,0.1648
2025-01-12,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4395.0,4213.0
2025-01-13,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.7385,4.8059
2025-01-13,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9342,1.5631
2025-01-13,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1691,0.1866
2025-01-13,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4413.0,4671.0
2025-01-14,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.8967,4.7291
2025-01-14,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.929,2.1146
2025-01-14,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1591,0.1669
2025-01-14,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4668.0,4459.0
2025-01-15,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,5.029,5.3482
2025-01-15,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,2.0048,1.9878
2025-01-15,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.161,0.1574
2025-01-15,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4195.0,3951.0
2025-01-16,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9123,4.5771
2025-01-16,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9631,2.3209
2025-01-16,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1626,0.1658
2025-01-16,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4292.0,4574.0
2025-01-17,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.9514,4.6918
2025-01-17,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.8848,1.8101
2025-01-17,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1603,0.1655
2025-01-17,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4642.0,4680.0
2025-01-18,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.555,5.1359
2025-01-18,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9689,2.0099
2025-01-18,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1591,0.158
2025-01-18,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4506.0,4539.0
2025-01-19,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8999,4.5692
2025-01-19,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9127,1.7819
2025-01-19,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1636,0.1457
2025-01-19,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4629.0,4781.0
2025-01-20,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9256,4.8616
2025-01-20,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9575,1.8695
2025-01-20,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1696,0.1568
2025-01-20,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4315.0,4274.0
2025-01-21,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8402,5.7487
2025-01-21,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,2.002,2.099
2025-01-21,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1615,0.152
2025-01-21,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4366.0,4603.0
2025-01-22,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.9508,5.298
2025-01-22,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.8857,1.6418
2025-01-22,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1647,0.1693
2025-01-22,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4527.0,4771.0
2025-01-23,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.9348,5.4286
2025-01-23,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9865,1.6968
2025-01-23,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1621,0.1599
2025-01-23,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4748.0,4515.0
2025-01-24,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.7708,4.6835
2025-01-24,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9819,1.9245
2025-01-24,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1653,0.1515
2025-01-24,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4512.0,4882.0
2025-01-25,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8983,4.8075
2025-01-25,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.991,2.1419
2025-01-25,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1657,0.1725
2025-01-25,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4642.0,4405.0
2025-01-26,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.7283,4.9737
2025-01-26,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,2.0406,1.3264
2025-01-26,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.161,0.1728
2025-01-26,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4457.0,2495.92
2025-01-27,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.4724,4.4236
2025-01-27,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9757,1.7956
2025-01-27,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1673,0.1567
2025-01-27,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4414.0,4107.0
2025-01-28,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.6809,4.1065
2025-01-28,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9181,1.8379
2025-01-28,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1632,0.1645
2025-01-28,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4265.0,4391.0
2025-01-29,Agribusiness,Kulim (Malaysia) Berhad,Daily_Revenue_RM_Mil,4.8912,4.8034
2025-01-29,Agribusiness,Kulim (Malaysia) Berhad,Daily_Gross_Profit_RM_Mil,1.9708,1.9465
2025-01-29,Agribusiness,Kulim (Malaysia) Berhad,Daily_Finance_Cost_RM_Mil,0.1702,0.1806
2025-01-29,Agribusiness,Kulim (Malaysia) Berhad,FFB_Processed_Tonnes,4603.0,4147.0
2025-01-30,Agribusiness,Johor Plantation Group,Daily_Revenue_RM_Mil,4.8105,5.0622
2025-01-30,Agribusiness,Johor Plantation Group,Daily_Gross_Profit_RM_Mil,1.9939,1.977
2025-01-30,Agribusiness,Johor Plantation Group,Daily_Finance_Cost_RM_Mil,0.1709,0.1753
2025-01-30,Agribusiness,Johor Plantation Group,FFB_Processed_Tonnes,4414.0,4206.0
2025-01-01,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8005,12.2757
2025-01-01,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.4352,5.3788
2025-01-01,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5264,0.4879
2025-01-01,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1179.0,1191.0
2025-01-02,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.9171,12.1959
2025-01-02,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.1766,5.5217
2025-01-02,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5308,0.5782
2025-01-02,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1213.0,1370.0
2025-01-03,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8467,12.0686
2025-01-03,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.3569,5.1311
2025-01-03,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5122,0.5142
2025-01-03,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1187.0,1188.0
2025-01-04,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,10.8562,11.4036
2025-01-04,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.0696,5.1289
2025-01-04,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5163,0.5135
2025-01-04,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1178.0,1239.0
2025-01-05,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8144,12.2822
2025-01-05,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.2384,5.577
2025-01-05,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5043,0.5111
2025-01-05,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1159.0,1211.0
2025-01-06,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.2896,11.8935
2025-01-06,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.0629,4.6641
2025-01-06,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5126,0.5152
2025-01-06,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1249.0,1259.0
2025-01-07,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8337,11.2136
2025-01-07,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.2864,4.9988
2025-01-07,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5128,0.5144
2025-01-07,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1174.0,1205.0
2025-01-08,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.8442,10.6686
2025-01-08,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.1327,4.8682
2025-01-08,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5087,0.5072
2025-01-08,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1203.0,1119.0
2025-01-09,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.4906,11.056
2025-01-09,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.5134,5.4175
2025-01-09,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5073,0.5233
2025-01-09,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1176.0,1050.0
2025-01-10,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.4666,11.0283
2025-01-10,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.1401,5.2016
2025-01-10,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5163,0.5199
2025-01-10,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1281.0,1241.0
2025-01-11,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,10.7697,10.4265
2025-01-11,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.2534,5.3663
2025-01-11,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5242,0.5282
2025-01-11,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1125.0,1094.0
2025-01-12,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.5105,10.6953
2025-01-12,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.4586,5.3041
2025-01-12,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5051,0.5008
2025-01-12,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1163.0,1164.0
2025-01-13,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8672,11.7073
2025-01-13,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.1645,4.7339
2025-01-13,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5169,0.4946
2025-01-13,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1187.0,1129.0
2025-01-14,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.451,12.0357
2025-01-14,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.2232,5.2012
2025-01-14,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5039,0.4905
2025-01-14,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1185.0,1154.0
2025-01-15,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.5501,10.9111
2025-01-15,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.292,5.7402
2025-01-15,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5059,0.5253
2025-01-15,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1276.0,1258.0
2025-01-16,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,12.0918,11.3064
2025-01-16,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.5436,5.6111
2025-01-16,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5277,0.5041
2025-01-16,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1206.0,1123.0
2025-01-17,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.5036,10.5098
2025-01-17,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.3315,5.0566
2025-01-17,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5079,0.5289
2025-01-17,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1114.0,1051.0
2025-01-18,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.2912,7.9038
2025-01-18,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.5272,5.4433
2025-01-18,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5099,0.5386
2025-01-18,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1215.0,753.3
2025-01-19,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,12.0107,12.0674
2025-01-19,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.2464,5.641
2025-01-19,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5186,0.5013
2025-01-19,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1162.0,1154.0
2025-01-20,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.7121,11.5379
2025-01-20,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.2555,5.2725
2025-01-20,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5328,0.5424
2025-01-20,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1219.0,1212.0
2025-01-21,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.7673,11.7805
2025-01-21,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.46,5.4031
2025-01-21,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5212,0.5239
2025-01-21,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1227.0,1133.0
2025-01-22,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.4953,12.595
2025-01-22,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.6249,6.5018
2025-01-22,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5201,0.5131
2025-01-22,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1231.0,1194.0
2025-01-23,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.9845,11.3847
2025-01-23,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.4686,4.9249
2025-01-23,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5154,0.5616
2025-01-23,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1135.0,1162.0
2025-01-24,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.4475,12.3685
2025-01-24,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.0484,4.6317
2025-01-24,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5395,0.5273
2025-01-24,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1195.0,1166.0
2025-01-25,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.8302,11.5971
2025-01-25,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.3061,5.0019
2025-01-25,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5171,0.5291
2025-01-25,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1241.0,1284.0
2025-01-26,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.7422,11.7005
2025-01-26,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.5645,5.1296
2025-01-26,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5094,0.4972
2025-01-26,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1171.0,1187.0
2025-01-27,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,11.5263,11.8816
2025-01-27,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.1676,5.1985
2025-01-27,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.5296,0.5054
2025-01-27,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1181.0,1200.0
2025-01-28,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.3726,10.9873
2025-01-28,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.2533,5.1632
2025-01-28,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.5064,0.5801
2025-01-28,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1164.0,1146.0
2025-01-29,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Revenue_RM_Mil,12.2398,12.2605
2025-01-29,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Gross_Profit_RM_Mil,5.3572,4.7254
2025-01-29,Wellness and healthcare,KPJ Healthcare Berhad,Daily_Finance_Cost_RM_Mil,0.523,0.5354
2025-01-29,Wellness and healthcare,KPJ Healthcare Berhad,Patient_Admissions,1199.0,1127.0
2025-01-30,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Revenue_RM_Mil,11.4322,11.3784
2025-01-30,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Gross_Profit_RM_Mil,5.5019,5.5911
2025-01-30,Wellness and healthcare,KPJ Johor Specialist Hospital,Daily_Finance_Cost_RM_Mil,0.4927,0.4531
2025-01-30,Wellness and healthcare,KPJ Johor Specialist Hospital,Patient_Admissions,1179.0,1252.0
2025-01-01,Real estate and infrastructure,JCorp Properties Sdn Bhd,Daily_Revenue_RM_Mil,3.5549,3.5201
2025-01-01,Real estate and infrastructure,JCorp Properties Sdn Bhd,Daily_Gross_Profit_RM_Mil,1.1107,1.0729
2025-01-01,Real estate and infrastructure,JCorp Properties Sdn Bhd,Daily_Finance_Cost_RM_Mil,0.3768,0.4098
2025-01-01,Real estate and infrastructure,JCorp Properties Sdn Bhd,Units_Under_Construction,85.0,77.0
2025-01-02,Real estate and infrastructure,Damansara Assets Sdn Bhd,Daily_Revenue_RM_Mil,3.8521,4.2915
2025-01-02,Real estate and infrastructure,Damansara Assets Sdn Bhd,Daily_Gross_Profit_RM_Mil,1.0949,0.9774
2025-01-02,Real estate and infrastructure,Damansara Assets Sdn Bhd,Daily_Finance_Cost_RM_Mil,0.3804,0.3531
2025-01-02,Real estate and infrastructure,Damansara Assets Sdn Bhd,Units_Under_Construction,88.0,90.0
2025-01-03,Real estate and infrastructure,JCIT,Daily_Revenue_RM_Mil,3.8355,3.8531
